32,0,0,0,1,0,0,0,0,163604,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20
60,0,0,0,0,1,0,0,0,171315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,40
40,0,0,0,1,0,0,0,0,189666,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,45
27,0,0,0,1,0,0,0,0,188171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,60
40,0,0,0,1,0,0,0,0,360884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,50
42,0,0,0,1,0,0,0,0,356934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,40
37,0,0,0,1,0,0,0,0,107737,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,55
34,0,0,0,0,0,1,0,0,313729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,50
30,0,0,0,1,0,0,0,0,337494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,48
35,0,0,0,1,0,0,0,0,194591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,40
36,0,0,0,1,0,0,0,0,171676,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1741,40
55,0,0,0,0,0,1,0,0,157486,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7298,0,40
